2011;nier;Lionel Briand;Simula Research Laboratory, Norway
2011;nier;Marsha Chechik;University of Toronto, Canada
2011;nier;Lori A. Clarke;University of Massachusetts at Amherst, USA
2011;nier;Myra Cohen;University of Nebraska - Lincoln, USA
2011;nier;Prem Devanbu;UC Davis, USA
2011;nier;Matt Dwyer;University of Nebraska - Lincoln, USA
2011;nier;Wolfgang Emmerich;University College London, UK
2011;nier;Stephen Fickas;University of Oregon, USA
2011;nier;Anthony Finkelstein;University College London, UK
2011;nier;Sol Greenspan;National Science Foundation, USA
2011;nier;Mary Jean Harrold;Georgia Tech, USA
2011;nier;Jim Herbsleb;Carnegie Mellon University, USA
2011;nier;John Knight;University of Virginia, USA
2011;nier;Michele Lanza;University of Lugano, Switzerland
2011;nier;Dino Mandrioli;Politecnico di Milano, Italy
2011;nier;Sandro Morasca;University of Insubria, Italy
2011;nier;Greg Morrisett;Harvard University, USA
2011;nier;Bashar Nuseibeh;Lero, Ireland and The Open University, UK
2011;nier;Gian Pietro Picco;University of Trento, Italy
2011;nier;Gregg Rothermel;University of Nebraska - Lincoln, USA
2011;nier;Bill Scherlis;Carnegie Mellon University, USA
2011;nier;Mary Shaw;Carnegie Mellon University, USA
2011;nier;Kevin Sullivan;University of Virginia, USA
2011;nier;Pamela Zave;AT&T Research Labs, USA
2010;main;Sebastian Uchitel;University of Buenos Aires, Argentina and Imperial College London, UK
2010;main;Prem Devanbu;University of California at Davis, USA
2010;main;Judith Bishop;University of Pretoria, South Africa
2010;main;Jeffrey Kramer;Imperial College London, UK
2010;main;Joanne M. Atlee;University of Waterloo, Canada
2010;main;Antonia Bertolino;ISTI-CNR, Italy
2010;main;Victor Braberman;Universidad de Buenos Aires, Argentina
2010;main;Lionel Briand;Simula Research Laboratory & Univeristy of Oslo, Norway
2010;main;Antonio Carzaniga;University of Lugano, Switzerland
2010;main;Satish Chandra;IBM Research, USA
2010;main;Marsha Chechik;University of Toronto, Canada
2010;main;Paola Inverardi;Universita dell’Aquila, Italy
2010;main;Shing-Chi Cheung;Hong Kong University of Science and Technology, China
2010;main;Matthew Dwyer;University of Nebraska-Lincoln, USA
2010;main;Wolfgang Emmerich;University College London, UK
2010;main;Harald Gall;University of Zurich, Switzerland
2010;main;Carlo Ghezzi;Politecnico di Milano, Italy
2010;main;Dimitra Giannakopoulou;CMU/NASA Ames, USA
2010;main;Holger Giese;Hasso Plattner Institute, Germany
2010;main;Paul Gruehnbacher;Johannes Kepler University Linz, Austria
2010;main;Ahmed E. Hassan;Queen's University, Kingston, Canada
2010;main;James Herbsleb;Carnegie Mellon University, USA
2010;main;Ingolf Krüger;University of California San Diego, USA
2010;main;Michele Lanza;University of Lugano, Switzerland
2010;main;Emmanuel Letier;University College London, UK
2010;main;Jeff Magee;Imperial College London, UK
2010;main;Nenad Medvidovic;University of Southern California, USA
2010;main;Audris Mockus;Avaya Labs Research, USA
2010;main;Amy L. Murphy;Bruno Kessler Foundation–IRST, Italy
2010;main;Gail Murphy;University of British Columbia, Canada
2010;main;Nachiappan Nagappan;Microsoft Research, USA
2010;main;Bashar Nuseibeh;The Open University, UK
2010;main;Alessandro Orso;Georgia Institute of Technology, USA
2010;main;Sriram K. Rajamani;Microsoft Research, India
2010;main;Yannis Smaragdakis;University of Massachusetts, USA
2010;main;Jin-Song Dong;National University of Singapore, Singapore
2010;main;Margaret-Anne Storey;University of Victoria, Canada
2010;main;Zhendong Su;University of California at Davis, USA
2010;main;Kevin Sullivan;University of Virginia, USA
2010;main;Frank Tip;IBM T.J. Watson Research Center, USA
2010;main;Arie van Deursen;Delft University of Technology, The Netherlands
2010;main;Jim Whitehead;University of California Santa Cruz, USA
2010;main;Alexander L. Wolf;Imperial College London, UK
2010;main;Tao Xie;North Carolina State University, USA
2010;main;Andreas Zeller;Saarland University, Germany
2010;external;Bram Adams;
2010;external;Omar Alam;
2010;external;Aws Albarghouthi;
2010;external;Saswat Anand;
2010;external;Andrea Arcuri;
2010;external;Shay Artzi;
2010;external;Marco Autili;
2010;external;George Baah;
2010;external;Alberto Bacchelli;
2010;external;Robert Baillargeon;
2010;external;Arosha Bandara;
2010;external;Luciano Baresi;
2010;external;Earl T. Barr;
