Conference;Year;First Name;Last Name;Sex;Role
MSR;2008;Ahmed E.;Hassan;Male;General Chair
MSR;2008;Michele;Lanza;Male;Program Chair
MSR;2008;Michael W.;Godfrey;Male;Program Chair
MSR;2008;Sung;Kim;Male;Challenge Chair
MSR;2007;Harald;Gall;Male;Program Chair
MSR;2007;Michele;Lanza;Male;Program Chair
MSR;2007;Thomas;Zimmermann;Male;Challenge Chair
MSR;2006;Stephan;Diehl;Male;Organiser
MSR;2006;Harald;Gall;Male;Organiser
MSR;2006;Ahmed E.;Hassan;Male;Organiser
MSR;2006;Martin;Pinzger;Male;Challenge Chair
MSR;2005;Ahmed E.;Hassan;Male;Organiser
MSR;2005;Richard C.;Holt;Male;Organiser
MSR;2005;Stephan;Diehl;Male;Organiser
MSR;2004;Ahmed E.;Hassan;Male;Organiser
MSR;2004;Richard C.;Holt;Male;Organiser
MSR;2004;Audris;Mockus;Male;Organiser
